12
7
0.8, 3.2, 4.5, 2.1, 6.3, 5.7, 1.9
5, 8, 7, 6, 9, 10, 4
1.2, 2.3, 3.5, 4.8, 1.5, 2.6, 3.7, 4.9, 1.1, 2.4, 3.6, 1.8
6.1, 4.7, 8.2, 3.5, 9.0, 5.4, 2.1
5.9, 4.5, 8.0, 3.3, 8.8, 5.2, 1.9
4.6, 3.2, 6.7, 2.0, 7.5, 3.9, 0.6
7.3, 5.9, 9.4, 4.7, 10.2, 6.6, 3.3
5.2, 3.8, 7.3, 2.6, 8.1, 4.5, 1.2
6.8, 5.4, 8.9, 4.2, 9.7, 6.1, 2.8
4.3, 2.9, 6.4, 1.7, 7.2, 3.6, 0.3
5.7, 4.3, 7.8, 3.1, 8.6, 5.0, 1.7
6.0, 4.6, 8.1, 3.4, 8.9, 5.3, 2.0
7.5, 6.1, 9.6, 4.9, 10.4, 6.8, 3.5
5.8, 4.4, 7.9, 3.2, 8.7, 5.1, 1.8
6.4, 5.0, 8.5, 3.8, 9.3, 5.7, 2.4
